Date,Open,High,Low,Close,Adj Close,Volume
2016-05-03,10.15,10.34,9.258,9.271,9.271,1952044.73
2016-05-04,9.271,10.02,9.103,9.366,9.366,1726008.21
2016-05-05,9.366,10.13,9.248,9.835,9.835,1646018.19
2016-05-06,9.835,10.26,8.952,9.237,9.237,2004919.41
2016-05-07,9.237,9.545,9.137,9.33,9.33,1029998.07
2016-05-08,9.33,9.684,8.864,9.496,9.496,1448434.62
2016-05-09,9.496,9.784,9.094,9.333,9.333,1183488.27
2016-05-10,9.333,9.464,8.983,9.311,9.311,872663.05
2016-05-11,9.311,10.04,9.367,9.978,9.978,1346190.42
2016-05-12,9.978,10.62,9.875,10.13,10.13,2021600.25
2016-05-13,10.13,11.14,10.01,10.49,10.49,2406911.09
2016-05-14,10.49,10.67,9.718,10.22,10.22,1568233.38
2016-05-15,10.22,10.52,9.868,9.973,9.973,795635.34
2016-05-16,9.973,11.66,9.884,11.11,11.11,2208825.53
2016-05-17,11.04,12.6,11.03,12.26,12.26,230629.51
2016-05-18,12.26,14.35,12.11,13.29,13.29,253533.22
2016-05-19,13.3,14.75,12.89,14.74,14.74,3184391.8
2016-05-20,14.74,15.08,13.28,13.73,13.73,3058102.04
2016-05-21,13.73,14.12,13.1,14.01,14.01,1507863.99
2016-05-22,14.01,14.42,13.64,14.27,14.27,1053212.08
2016-05-23,14.27,14.67,13.38,13.45,13.45,1239935.89
2016-05-24,13.45,13.81,11.9,12.62,12.62,227000.82
2016-05-25,12.63,13.03,11.71,12.52,12.52,1731847.61
2016-05-26,12.52,13.15,12.02,12.53,12.53,1324892.45
2016-05-27,12.53,13.09,10.41,11.18,11.18,4170013.37
2016-05-28,11.18,13.14,10.83,11.73,11.73,3307582.47
2016-05-29,11.73,12.48,11.31,12.23,12.23,1842210.32
2016-05-30,12.23,12.87,12.06,12.66,12.66,925508.57
2016-05-31,12.66,14.62,12.36,13.94,13.94,2416399.84
2016-06-01,13.94,14.67,13.4,13.83,13.83,1174273.56
2016-06-02,13.83,14.18,13.51,13.74,13.74,562963.5
2016-06-03,13.74,14.69,13.04,13.82,13.82,1346048.6
2016-06-04,13.82,14.14,13.04,13.69,13.69,931367.28
2016-06-05,13.69,14.22,13.45,14,14,638696.58
2016-06-06,14,14.29,13.7,13.92,13.92,448815.92
2016-06-07,13.92,14.65,13.45,14.38,14.38,1155618.71
2016-06-08,14.38,15.04,14.33,14.45,14.45,798246.57
2016-06-09,14.45,14.68,14.13,14.32,14.32,405515.21
2016-06-10,14.32,14.55,13.81,13.98,13.98,507508.85
2016-06-11,13.98,14.31,13.83,13.92,13.92,598596.9
2016-06-12,13.92,15.99,14.72,15.74,15.74,1789827.79
2016-06-13,15.74,17.7,16.09,17.56,17.56,1281645.06
2016-06-14,17.56,19.25,17.05,18.84,18.84,2111383.33
2016-06-15,18.84,19.36,18.01,18.42,18.42,636370.17
2016-06-16,18.3,21.35,18.21,20.61,20.61,534902.76
2016-06-17,20.61,21.39,13.44,15.49,15.49,2377787.72
2016-06-18,15.49,15.53,9.936,11.36,11.36,1669122.52
2016-06-19,11.36,13.53,10.55,12.33,12.33,614070.5
2016-06-20,12.35,12.15,10.06,11.73,11.73,6323169.02
2016-06-21,11.73,13.05,10.66,12.71,12.71,4634748.09
2016-06-22,12.71,15.9,12.64,13.21,13.21,1411493.21
2016-06-23,13.14,14.61,13.34,13.58,13.58,1757088.26
2016-06-24,13.58,14.44,13.1,14.16,14.16,1599683.98
2016-06-25,14.16,14.5,13.7,14.17,14.17,713655.8
2016-06-26,14.17,14.39,13.35,13.72,13.72,730772.21
2016-06-27,13.72,14.36,13.67,13.83,13.83,523857.26
2016-06-28,14.04,14.14,11.36,12.15,12.15,567475.98
2016-06-29,12.19,13.05,11.52,12.73,12.73,1405182.66
2016-06-30,12.73,13.44,12.34,12.41,12.41,950893.18
2016-07-01,12.41,12.56,11.62,12.3,12.3,1073433.92
2016-07-02,12.3,12.74,11.96,12.11,12.11,564231.38
2016-07-03,12.11,12.01,11.33,11.74,11.74,607487.34
2016-07-04,11.74,12.13,11.28,11.38,11.38,726090.82
2016-07-05,11.34,11.41,8.976,10.45,10.45,644840.11
2016-07-06,10.47,11.11,10.21,10.43,10.43,1180583.52
2016-07-07,10.43,10.31,9.529,10.03,10.03,1068420.96
2016-07-08,10.03,11.64,10.3,11.27,11.27,1075333.09
2016-07-09,11.27,11.34,10.69,10.92,10.92,1004312.6
2016-07-10,10.92,11.08,10.7,10.9,10.9,352314.22
2016-07-11,10.9,10.92,10.18,10.46,10.46,908398.52
2016-07-12,10.46,11.1,10.39,10.49,10.49,706482.57
2016-07-13,10.49,10.6,10.27,10.44,10.44,483642.48
2016-07-14,10.44,11.69,10.37,11.55,11.55,341067.86
2016-07-15,11.55,12.64,11.4,11.88,11.88,500048.49
2016-07-16,11.88,12.12,11.5,11.59,11.59,147184.72
2016-07-17,11.59,11.73,10.9,11.19,11.19,433021.16
2016-07-18,11.17,11.48,10.85,10.95,10.95,968204.81
2016-07-19,11.03,12.1,10.95,11.63,11.63,351169.14
2016-07-20,11.63,13,11.4,12.54,12.54,917203.07
